tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759017381.0005603,2025-09-27 23:56:21.00056-10,2025-09-27,13:56:21,20.9358063818,-156.3970131615,22.897440000000003,253.3,133,,256.845,20.915455838716444,-156.39256217183566,20.410368000000002,22.596581886792443,01998e98-a600-79ee-82e5-b6e98bafa701,7151.347334572459,2309.6146567688947
1759017382.0005631,2025-09-27 23:56:22.000563-10,2025-09-27,13:56:22,20.9357894129,-156.3970714798,22.897440000000003,251.9,133,,257.973,20.91544289120061,-156.39262136967676,20.543760000000006,22.594770566037727,01998e98-a600-79ee-82e5-b6e98bafa701,7157.691031182491,2309.158272886839
1759017383.0005646,2025-09-27 23:56:23.000564-10,2025-09-27,13:56:23,20.9357719909,-156.39712697,22.5882,250.23,133,,257.973,20.915434987043614,-156.39265750858058,20.846544,22.607481509433956,01998e98-a600-79ee-82e5-b6e98bafa701,7163.770806820041,2308.524675552477
1759017384.0005677,2025-09-27 23:56:24.000568-10,2025-09-27,13:56:24,20.9357543275,-156.3971831777,21.965760000000003,252.59,133,,257.973,20.915434987043614,-156.39265750858058,21.076871999999998,22.616277735849046,01998e98-a600-79ee-82e5-b6e98bafa701,7169.929767619447,2307.7826912184037
1759017385.0005693,2025-09-27 23:56:25.000569-10,2025-09-27,13:56:25,20.9357477846,-156.3972334558,21.965760000000003,264.33,133,,257.973,20.915434987043614,-156.39265750858058,21.307200000000005,22.62658867924528,01998e98-a600-79ee-82e5-b6e98bafa701,7175.201791977385,2308.1399867491978
1759017386.0005713,2025-09-27 23:56:26.000571-10,2025-09-27,13:56:26,20.935746415,-156.3972838125,19.66896,274.18,135,,257.973,20.915434987043614,-156.39265750858058,21.384408,22.622454339622635,01998e98-a600-79ee-82e5-b6e98bafa701,7180.433755106386,2309.0736154591546
1759017387.000574,2025-09-27 23:56:27.000574-10,2025-09-27,13:56:27,20.9357537839,-156.3973382615,19.66896,279.97,135,,258.38,20.915434987043614,-156.39265750858058,21.368448000000004,22.607775849056598,01998e98-a600-79ee-82e5-b6e98bafa701,7186.147559847706,2311.058049221651
1759017388.000576,2025-09-27 23:56:28.000576-10,2025-09-27,13:56:28,20.9357704527,-156.3973986484,23.37048,283.21,135,,258.38,20.915434987043614,-156.39265750858058,21.599256000000004,22.61637735849056,01998e98-a600-79ee-82e5-b6e98bafa701,7192.687142956557,2314.196508596261
1759017389.0005786,2025-09-27 23:56:29.000579-10,2025-09-27,13:56:29,20.9357824098,-156.3974625008,24.17148,281.1,135,,258.38,20.915434987043614,-156.39265750858058,21.976271999999998,22.630016603773576,01998e98-a600-79ee-82e5-b6e98bafa701,7199.450445441269,2316.915037369439
1759017390.0005808,2025-09-27 23:56:30.000581-10,2025-09-27,13:56:30,20.9357963379,-156.3975278275,24.17148,280.62,135,,258.38,20.915434987043614,-156.39265750858058,22.353288,22.647217358490558,01998e98-a600-79ee-82e5-b6e98bafa701,7206.409410223328,2319.8973781790887
1759017391.0005822,2025-09-27 23:56:31.000582-10,2025-09-27,13:56:31,20.9358095498,-156.3975970342,24.17148,276.95,144,,258.38,20.915434987043614,-156.39265750858058,22.602863999999997,22.659618113207536,01998e98-a600-79ee-82e5-b6e98bafa701,7213.74540687784,2322.9080329881126
1759017392.0005836,2025-09-27 23:56:32.000584-10,2025-09-27,13:56:32,20.9358126399,-156.3976640733,23.57856,269.6,144,,259.667,20.915434987043614,-156.39265750858058,22.650143999999994,22.668289811320747,01998e98-a600-79ee-82e5-b6e98bafa701,7220.716158171925,2324.790602072812
1759017393.0005856,2025-09-27 23:56:33.000586-10,2025-09-27,13:56:33,20.9358069212,-156.3977222913,23.67468,265.12,144,,259.667,20.915434987043614,-156.39265750858058,22.703832,22.678394716981124,01998e98-a600-79ee-82e5-b6e98bafa701,7226.795676609699,2325.5310987232974
